player_id,name,pos,dob,current_team,year,team,g,pa,hr,r,rbi,sb,avg,normal_hr,normal_r,normal_rbi,normal_sb,normal_avg,z_hr,z_r,z_rbi,z_sb,z_avg,value,cost,drafted
6589,Sean Rodriguez,2B,31163,Rays,2014,Steamer,57,236,5,25,23,3,0.23,0.021186441,0.105932203,0.097457627,0.012711864,0.000974576,0.11,0.33,0.22,-0.03,-0.50,0.03,0,0
3867,Kelly Shoppach,C,29340,Indians,2014,Steamer,32,130,4,12,13,1,0.204,0.030769231,0.092307692,0.1,0.007692308,0.001569231,0.75,0.04,0.28,-0.36,-0.50,0.03,0,0
3867,Kelly Shoppach,C,29340,Mariners,2014,Steamer,32,130,4,12,13,1,0.204,0.030769231,0.092307692,0.1,0.007692308,0.001569231,0.75,0.04,0.28,-0.36,-0.50,0.03,0,0
2554,Chris Parmelee,1B/OF,32197,Twins,2014,Steamer,8,33,1,4,4,0,0.245,0.03030303,0.121212121,0.121212121,0,0.007424242,0.72,0.66,0.73,-0.86,-0.43,0.03,0,0
3388,Chris Getz,2B,30558,Royals,2014,Steamer,16,66,0,7,5,3,0.252,0,0.106060606,0.075757576,0.045454545,0.003818182,-1.32,0.33,-0.25,2.12,-0.47,0.03,0,0
11038,Kevin Kiermaier,OF,32985,Rays,2014,Steamer,32,136,1,14,13,4,0.252,0.007352941,0.102941176,0.095588235,0.029411765,0.001852941,-0.83,0.27,0.18,1.07,-0.49,0.03,0,0
1617,Lyle Overbay,1B,28153,Yankees,2014,Steamer,5,20,1,2,2,0,0.231,0.05,0.1,0.1,0,0.01155,2.05,0.20,0.28,-0.86,-0.39,0.03,0,0
7619,Mark Reynolds,1B/3B,30531,Indians,2014,Steamer,5,20,1,2,2,0,0.222,0.05,0.1,0.1,0,0.0111,2.05,0.20,0.28,-0.86,-0.40,0.03,0,0
7619,Mark Reynolds,1B/3B,30531,Yankees,2014,Steamer,5,20,1,2,2,0,0.222,0.05,0.1,0.1,0,0.0111,2.05,0.20,0.28,-0.86,-0.40,0.03,0,0
6448,Jim Adduci,1B/DH/OF,31182,Rangers,2014,Steamer,5,20,0,2,2,1,0.255,0,0.1,0.1,0.05,0.01275,-1.32,0.20,0.28,2.42,-0.38,0.02,0,0
8272,Matt Tuiasosopo,OF,31542,Tigers,2014,Steamer,6,27,1,3,3,0,0.228,0.037037037,0.111111111,0.111111111,0,0.008444444,1.18,0.44,0.52,-0.86,-0.42,0.02,0,0
5887,John Jaso,C,30578,Athletics,2014,Steamer,89,380,7,45,37,4,0.248,0.018421053,0.118421053,0.097368421,0.010526316,0.000652632,-0.08,0.60,0.22,-0.17,-0.51,0.02,0,0
8434,Brett Wallace,1B,31650,Astros,2014,Steamer,8,34,1,4,4,0,0.251,0.029411765,0.117647059,0.117647059,0,0.007382353,0.66,0.58,0.66,-0.86,-0.43,0.02,0,0
6601,Luke Montz,C/DH,30504,Athletics,2014,Steamer,8,34,1,4,4,0,0.212,0.029411765,0.117647059,0.117647059,0,0.006235294,0.66,0.58,0.66,-0.86,-0.45,0.02,0,0
2225,Jason Bourgeois,OF,29955,Rays,2014,Steamer,3,14,0,1,1,1,0.26,0,0.071428571,0.071428571,0.071428571,0.018571429,-1.32,-0.41,-0.34,3.82,-0.32,0.02,0,0
8631,Cord Phelps,2B/DH,31800,Indians,2014,Steamer,19,81,2,8,8,1,0.237,0.024691358,0.098765432,0.098765432,0.012345679,0.002925926,0.34,0.18,0.25,-0.05,-0.48,0.02,0,0
746,A.J. Pierzynski,C,28124,Rangers,2014,Steamer,81,338,8,36,39,1,0.266,0.023668639,0.106508876,0.115384615,0.00295858,0.000786982,0.27,0.34,0.61,-0.67,-0.51,0.02,0,0
5930,Nick Markakis,OF,30637,Orioles,2014,Steamer,130,581,12,69,61,3,0.278,0.020654045,0.118760757,0.104991394,0.005163511,0.000478485,0.07,0.61,0.38,-0.52,-0.51,0.02,0,0
81,Henry Blanco,C,26174,Blue Jays,2014,Steamer,11,45,1,4,4,1,0.218,0.022222222,0.088888889,0.088888889,0.022222222,0.004844444,0.18,-0.04,0.04,0.60,-0.46,0.01,0,0
81,Henry Blanco,C,26174,Mariners,2014,Steamer,11,45,1,4,4,1,0.218,0.022222222,0.088888889,0.088888889,0.022222222,0.004844444,0.18,-0.04,0.04,0.60,-0.46,0.01,0,0
6402,Brent Morel,3B,31888,White Sox,2014,Steamer,13,52,1,5,5,1,0.231,0.019230769,0.096153846,0.096153846,0.019230769,0.004442308,-0.03,0.12,0.19,0.40,-0.47,0.01,0,0
9345,Brock Holt,2B/3B,32305,Red Sox,2014,Steamer,28,112,1,12,10,3,0.275,0.008928571,0.107142857,0.089285714,0.026785714,0.002455357,-0.72,0.36,0.04,0.90,-0.49,0.01,0,0
3142,Robinson Chirinos,C,30838,Rangers,2014,Steamer,24,99,2,11,10,1,0.235,0.02020202,0.111111111,0.101010101,0.01010101,0.002373737,0.04,0.44,0.30,-0.20,-0.49,0.01,0,0
1861,Wilson Betemit,3B,29892,Orioles,2014,Steamer,16,66,2,7,7,0,0.247,0.03030303,0.106060606,0.106060606,0,0.003742424,0.72,0.33,0.41,-0.86,-0.47,0.01,0,0
5497,Marwin Gonzalez,SS,32581,Astros,2014,Steamer,42,169,2,17,16,4,0.247,0.01183432,0.100591716,0.094674556,0.023668639,0.001461538,-0.53,0.21,0.16,0.69,-0.50,0.01,0,0
1159,Andrew Romine,3B/SS,31405,Angels,2014,Steamer,34,136,1,14,12,4,0.251,0.007352941,0.102941176,0.088235294,0.029411765,0.001845588,-0.83,0.27,0.02,1.07,-0.49,0.00,0,0
5587,Carlos Corporan,C,30688,Astros,2014,Steamer,16,67,2,7,7,0,0.232,0.029850746,0.104477612,0.104477612,0,0.003462687,0.69,0.30,0.37,-0.86,-0.48,0.00,0,0
8145,Eric Fryer,C,31285,Twins,2014,Steamer,2,7,0,1,1,0,0.223,0,0.142857143,0.142857143,0,0.031857143,-1.32,1.13,1.20,-0.86,-0.17,0.00,0,0
5653,Ryan Roberts,2B/3B,29483,Rays,2014,Steamer,13,54,1,5,5,1,0.235,0.018518519,0.092592593,0.092592593,0.018518519,0.004351852,-0.07,0.04,0.12,0.35,-0.47,0.00,0,0
7290,Jake Elmore,SS,31943,Astros,2014,Steamer,8,34,0,4,3,1,0.258,0,0.117647059,0.088235294,0.029411765,0.007588235,-1.32,0.58,0.02,1.07,-0.43,0.00,0,0
1591,Jamey Carroll,2B/3B,27078,Royals,2014,Steamer,0,1,0,0,0,0,0.266,0,0,0,0,0.266,-1.32,-1.95,-1.89,-0.86,2.33,0.00,0,0
1591,Jamey Carroll,2B/3B,27078,Twins,2014,Steamer,0,1,0,0,0,0,0.266,0,0,0,0,0.266,-1.32,-1.95,-1.89,-0.86,2.33,0.00,0,0
9854,Efren Navarro,1B,31546,Angels,2014,Steamer,0,1,0,0,0,0,0.262,0,0,0,0,0.262,-1.32,-1.95,-1.89,-0.86,2.29,0.00,0,0
548,Lance Berkman,1B/OF,27800,Rangers,2014,Steamer,0,1,0,0,0,0,0.259,0,0,0,0,0.259,-1.32,-1.95,-1.89,-0.86,2.25,0.00,0,0
3209,Julio Borbon,OF,31463,Rangers,2014,Steamer,0,1,0,0,0,0,0.258,0,0,0,0,0.258,-1.32,-1.95,-1.89,-0.86,2.24,0.00,0,0
4054,Emilio Bonifacio,2B/OF,31160,Royals,2014,Steamer,0,1,0,0,0,0,0.257,0,0,0,0,0.257,-1.32,-1.95,-1.89,-0.86,2.23,0.00,0,0
941,Miguel Tejada,SS,27174,Royals,2014,Steamer,0,1,0,0,0,0,0.257,0,0,0,0,0.257,-1.32,-1.95,-1.89,-0.86,2.23,0.00,0,0
4054,Emilio Bonifacio,2B/OF,31160,Blue Jays,2014,Steamer,0,1,0,0,0,0,0.257,0,0,0,0,0.257,-1.32,-1.95,-1.89,-0.86,2.23,0.00,0,0
5514,Jesus Montero,C/DH,32840,Mariners,2014,Steamer,0,1,0,0,0,0,0.257,0,0,0,0,0.257,-1.32,-1.95,-1.89,-0.86,2.23,0.00,0,0
2162,Freddy Guzman,OF,29606,Rays,2014,Steamer,0,1,0,0,0,0,0.255,0,0,0,0,0.255,-1.32,-1.95,-1.89,-0.86,2.21,0.00,0,0
